Model,Dataset,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,Train,0.89436957601367,0.9197857612678924,0.887740141175048,0.9034788828809427,0.9637918335105607
Logistic Regression,Validation,0.857666064619707,0.9132273775954883,0.7673667205169629,0.8339673435945456,0.9396844009494688
Logistic Regression,Test,0.8290153855565412,0.9786952688803996,0.7153903984534422,0.8265806291493454,0.9538849424517778
Random Forest,Train,0.8848915413169923,0.9183725527708692,0.8706903066854094,0.8938960142144425,0.9604912827541287
Random Forest,Validation,0.8579169175195666,0.9186453873102375,0.7625201938610663,0.8333333333333334,0.9379657030210031
Random Forest,Test,0.8418315847429113,0.9708744661485682,0.7446568574803996,0.8428506306032518,0.9535375664119157
XGBoost,Train,0.9132583059065159,0.9225857216354447,0.9215677383273628,0.9220764490150857,0.9764180685331817
XGBoost,Validation,0.8213927353000201,0.9385628925999694,0.6597738287560582,0.7748545408550468,0.9394286234226585
XGBoost,Test,0.7896491603707215,0.9816288034117937,0.6427344001718398,0.7768294661690736,0.9554532218317676
