Model,Dataset,RMSE,MAE,R2
Ridge Regression,Train,23.1267069659168,14.935391617562956,0.11837871754876417
Ridge Regression,Validation,27.856967242982268,18.216423299611222,0.09205911235654285
Ridge Regression,Test,25.415724014693808,16.672036990276744,0.09207942966316851
Random Forest,Train,23.60467431668745,15.242120877885716,0.08156062202863312
Random Forest,Validation,28.919465210823255,18.56679890160717,0.02147838728663276
Random Forest,Test,26.76260062016436,17.366285577599648,-0.006698705760354029
XGBoost,Train,22.436139242418225,14.114722787535195,0.1702433843360115
XGBoost,Validation,28.829926665668797,18.141305330573104,0.0275282755847972
XGBoost,Test,26.71101097626566,17.021043503791226,-0.002821267142676165
